question,angles_condition,cols_condition,lines_condition,perp_condition,points_condition,segm_condition,statement_condition,verifiable_answer
"В выпуклом четырёхугольнике ABCD стороны AB, BC и CD равны, M — середина AD. Известно, что угол BMC равен 90°. Найдите угол между диагоналями четырёхугольника ABCD.",BMC=90,-,ADM,BM perp MC,"A,B,C,D,M","AB=BC,BC=CD,AB=CD,AM=MD",3 AC BD,30
"На сторонах единичного квадрата отметили точки K, L, M, N так, что KM параллельна двум сторонам квадрата, а LN — двум другим. KL отсекает треугольник периметра 1. Какова площадь треугольника, отсекаемого MN?",-,-,KM,"AB parallel CD, BC parallel AD, AB perp BC, KM parallel AB, KM parallel CD, LN parallel BC, LN parallel AD","K,L,M,N","KL=0.5,MN=0.5,KX=0.25,LX=0.25",1 MN,1/4
"В остроугольном треугольнике ABC, где ∠A = 45°, проведены высоты AF, BG, CH. Биссектриса угла BAF пересекает GF в D, биссектриса угла CAF пересекает HF в E. Найдите угол между BD и CE.",BAC=45,-,"AHB,AGC,BFC","AF perp BC, BG perp AC, CH perp AB","A,B,C,D,E,F,G,H",-,3 BD CE,67.5
"В треугольник $\Delta$ вписана окружность $\omega$. Касательные к $\omega$, параллельные сторонам треугольника, отсекают от него три маленьких треугольника $\Delta_1$, $\Delta_2$, $\Delta_3$. Коэффициент подобия между треугольниками $\Delta_1$ и $\Delta$ равен 0,15; между треугольниками $\Delta_2$ и $\Delta$ — 0,43. Найдите коэффициент подобия между треугольниками $\Delta_3$ и $\Delta$. При необходимости округлите ответ с точностью до сотых.",-,-,-,---,"Δ,ω,Δ₁,Δ₂,Δ₃",-,1 Δ1Δ,0.42
"Дан выпуклый пятиугольник $ABCDE$, все стороны которого равны между собой. Известно, что угол $A$ равен $120^\circ$, угол $C$ равен $135^\circ$, а угол $D$ равен $n^\circ$. Найдите все возможные целые значения $n$.","EAB=120,BCD=135,CDE=n",-,-,---,"A,B,C,D,E","AB=BC,BC=CD,CD=DE,DE=EA,AB=CD,CD=EA,DE=AB,EA=BC",2 DAB,90
"Точка $O$ — центр описанной окружности остроугольного треугольника $ABC$. Описанная окружность треугольника $AOC$ вторично пересекает стороны $AB$ и $BC$ в точках $E$ и $F$. Оказалось, что прямая $EF$ делит площадь треугольника $ABC$ пополам. Найдите угол $B$.",-,-,"ABE,BCF",---,"A,B,C,O,E,F",-,2 ABC,45
"Внутри равнобедренного треугольника $ABC$ отмечена точка $K$, такая что $AB = BC = CK$ и $\angle KAC = 30^\circ$. Найдите угол $AKB$.","BAC=BCA, KAC=30",-,-,---,"A,B,C,K","AB=BC,BC=CK,AB=CK",2 BKA,150
"На стороне AC треугольника ABC взяли такую точку D, что угол BDC равен углу ABC. Чему равно наименьшее возможное расстояние между центрами окружностей, описанных около треугольников ABC и ABD, если BC = 1?",ABC=BDC,ABCD,ADC,---,"A,B,C,D",BC=1,1 CD,1/2
"В треугольнике $ ABC $ со сторонами $ AB = 3 $, $ BC = 4 $, $ CA = 5 $ на сторонах $ AB $, $ BC $, $ CA $ взяты пары точек $ D $ и $ E $, $ F $ и $ G $, $ H $ и $ I $ соответственно. Внутри треугольника $ ABC $ находится точка $ P $, такая что треугольники $ PFG $, $ PHI $, $ PDE $ — равные и равносторонние. Найдите площадь выпуклого шестиугольника с вершинами в точках $ F $, $ G $, $ H $, $ I $, $ D $, $ E $. Если необходимо, округлите ответ с точностью до 0,01.",-,-,-,AB perp BC,"A,B,C,D,E,F,G,H,I,P","AB=3,BC=4,CA=5,FG=GH=HI=ID=DE=EF",1 DE,3.34
"Периметр треугольника $ABC$ равен 1. Окружность $\omega$ касается стороны $BC$, продолжения стороны $AB$ в точке $P$ и продолжения стороны $AC$ в точке $Q$. Прямая, проходящая через середины $AB$ и $AC$, пересекает описанную окружность треугольника $APQ$ в точках $X$ и $Y$. Найдите длину отрезка $XY$.",-,-,"ABP,ACQ,MXY",---,"A,B,C,P,Q,X,Y","AB+BC+CA=1,AP=AQ",1 XY,1/2
"Окружность ω касается сторон AD, AB и BC параллелограмма ABCD, в котором ∠A < 90°. Диагональ AC пересекает ω в точках P и Q, причём P лежит между A и Q. Найдите площадь параллелограмма ABCD, если AP = 3, PQ = 9, QC = 16. Если необходимо, округлите ответ с точностью до 0,01.",-,-,ACPQ,"AB parallel CD, BC parallel AD","A,B,C,D,P,Q","AP=3,PQ=9,QC=16",1 AC,254.61
"Точка $ P $ лежит на описанной окружности квадрата $ ABCD $ и $ PA \cdot PC = 56 $, $ PB \cdot PD = 90 $. Найдите площадь $ ABCD $. При необходимости ответ округлите до трёх знаков после запятой.","DAB=90,ABC=90,BCD=90,CDA=90",ABCD,-,"AB parallel CD, BC parallel AD, AB perp BC","A,B,C,D,P",-,1 AB,106
"В треугольнике \( ABC \) угол \( C \) равен \( 75^\circ \), а угол \( B \) равен \( 60^\circ \). Вершина \( M \) равнобедренного прямоугольного треугольника \( BCM \) с гипотенузой \( BC \) расположена внутри треугольника \( ABC \). Найдите угол \( MAC \).","BCA=75,ABC=60,BMC=90,MBC=MCB",-,-,---,"A,B,C,M",BM=CM,2 BAC,30
"Дан треугольник \(ABC\). Прямая, параллельная \(AC\), пересекает стороны \(AB\) и \(BC\) в точках \(P\) и \(T\) соответственно, а медиану \(AM\) — в точке \(Q\). Известно, что \(PQ=3\), а \(QT=5\). Найдите длину \(AC\).",-,-,-,PQ parallel AC,"A,B,C,P,T,M,Q","PQ=3,QT=5",1 AC,11
"В треугольнике ABC медиана, выходящая из вершины A, перпендикулярна биссектрисе угла B, а медиана, выходящая из вершины B, перпендикулярна биссектрисе угла A. Известно, что сторона AB = 1. Найдите периметр треугольника ABC.",-,-,-,"AM perp BE, BM perp AD","A,B,C,M,N",AB=1,1 AB + BC + CA,5
"Равнобедренная трапеция \(ABCD\) с основаниями \(BC\) и \(AD\) такова, что \(\angle ADC=2 \angle CAD=82^{\circ}\). Внутри трапеции выбрана точка \(T\) так, что \(CT=CD, AT=TD\). Найдите \(\angle TCD\).","ADC=82,ADC=2CAD,CAD=41",ABCD,-,BC parallel AD,"A,B,C,D,T","AB=CD,CT=CD,AT=TD",2 TCD,38
